id_laporan,id_segmen,id_pelapor,waktu,latitude,longitude,deskripsi,foto_url,status,id_cluster_duplikat,is_simulation
L063,S03,W063,2026-09-08T17:00:00+07:00,-6.171,106.535,"Di Jalan simulasi Tangerang 03 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C063,True
L064,S04,W064,2026-09-01T17:00:00+07:00,-6.18,106.5725,"Di Jalan simulasi Tangerang 04 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C064,True
L065,S05,W065,2026-09-02T17:00:00+07:00,-6.171,106.56,"Di Jalan simulasi Tangerang 05 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C065,True
L066,S06,W066,2026-09-03T17:00:00+07:00,-6.18,106.5975,"Di Jalan simulasi Tangerang 06 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C066,True
L067,S07,W067,2026-09-04T17:00:00+07:00,-6.171,106.585,"Di Jalan simulasi Tangerang 07 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C067,True
L068,,W068,2026-09-05T17:00:00+07:00,,,"Jalan dekat rumah rusak, tolong dicek.",,perlu_klarifikasi,,True
L069,S09,W069,2026-09-06T17:00:00+07:00,-6.162,106.5225,"Di Jalan simulasi Tangerang 09 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C069,True
L070,S10,W070,2026-09-07T17:00:00+07:00,-6.153,106.51,"Di Jalan simulasi Tangerang 10 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C070,True
L071,S11,W071,2026-09-08T17:00:00+07:00,-6.162,106.5475,"Di Jalan simulasi Tangerang 11 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C071,True
L072,S12,W072,2026-09-01T17:00:00+07:00,-6.153,106.535,"Di Jalan simulasi Tangerang 12 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C072,True
L073,S13,W073,2026-09-02T17:00:00+07:00,-6.162,106.5725,"Di Jalan simulasi Tangerang 13 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C073,True
L074,S14,W074,2026-09-03T17:00:00+07:00,-6.153,106.56,"Di Jalan simulasi Tangerang 14 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C074,True
L075,S15,W075,2026-09-04T17:00:00+07:00,-6.162,106.5975,"Di Jalan simulasi Tangerang 15 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C075,True
L076,S16,W076,2026-09-05T17:00:00+07:00,-6.153,106.585,"Di Jalan simulasi Tangerang 16 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C076,True
L077,S17,W077,2026-09-06T17:00:00+07:00,-6.153,106.61,"Di Jalan simulasi Tangerang 17 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C077,True
L078,,W078,2026-09-07T17:00:00+07:00,,,"Jalan dekat rumah rusak, tolong dicek.",,perlu_klarifikasi,,True
L079,S19,W079,2026-09-08T17:00:00+07:00,-6.135,106.51,"Di Jalan simulasi Tangerang 19 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C079,True
L080,S00,W080,2026-09-01T17:00:00+07:00,-6.18,106.5225,"Di Jalan simulasi Tangerang 00 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C080,True
L081,S01,W081,2026-09-02T17:00:00+07:00,-6.171,106.51,"Di Jalan simulasi Tangerang 01 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C081,True
L082,S02,W082,2026-09-03T17:00:00+07:00,-6.18,106.5475,"Di Jalan simulasi Tangerang 02 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C082,True
L083,S03,W083,2026-09-04T17:00:00+07:00,-6.171,106.535,"Di Jalan simulasi Tangerang 03 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C083,True
L084,S04,W084,2026-09-05T17:00:00+07:00,-6.18,106.5725,"Di Jalan simulasi Tangerang 04 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C084,True
L085,S05,W085,2026-09-06T17:00:00+07:00,-6.171,106.56,"Di Jalan simulasi Tangerang 05 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C085,True
L086,S06,W086,2026-09-07T17:00:00+07:00,-6.18,106.5975,"Di Jalan simulasi Tangerang 06 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C086,True
L087,S07,W087,2026-09-08T17:00:00+07:00,-6.171,106.585,"Di Jalan simulasi Tangerang 07 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C087,True
L088,,W088,2026-09-01T17:00:00+07:00,,,"Jalan dekat rumah rusak, tolong dicek.",,perlu_klarifikasi,,True
L089,S09,W089,2026-09-02T17:00:00+07:00,-6.162,106.5225,"Di Jalan simulasi Tangerang 09 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,valid,C089,True
L090,S10,W070,2026-09-03T17:00:00+07:00,-6.153,106.51,"Di Jalan simulasi Tangerang 10 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,duplikat,C070,True
L091,S11,W071,2026-09-04T17:00:00+07:00,-6.162,106.5475,"Di Jalan simulasi Tangerang 11 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,duplikat,C071,True
L092,S12,W072,2026-09-05T17:00:00+07:00,-6.153,106.535,"Di Jalan simulasi Tangerang 12 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,duplikat,C072,True
L093,S13,W073,2026-09-06T17:00:00+07:00,-6.162,106.5725,"Di Jalan simulasi Tangerang 13 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,duplikat,C073,True
L094,S14,W074,2026-09-07T17:00:00+07:00,-6.153,106.56,"Di Jalan simulasi Tangerang 14 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,duplikat,C074,True
L095,S15,W075,2026-09-08T17:00:00+07:00,-6.162,106.5975,"Di Jalan simulasi Tangerang 15 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,duplikat,C075,True
L096,S16,W076,2026-09-01T17:00:00+07:00,-6.153,106.585,"Di Jalan simulasi Tangerang 16 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,duplikat,C076,True
L097,S17,W077,2026-09-02T17:00:00+07:00,-6.153,106.61,"Di Jalan simulasi Tangerang 17 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,duplikat,C077,True
L098,,W078,2026-09-03T17:00:00+07:00,,,"Jalan dekat rumah rusak, tolong dicek.",,duplikat,,True
L099,S19,W079,2026-09-04T17:00:00+07:00,-6.135,106.51,"Di Jalan simulasi Tangerang 19 ada lubang. Kendaraan harus bergantian lewat, terutama sore hari.",,duplikat,C079,True
